Date,y
2/1/2019,237600
2/1/2019,139700
2/1/2019,83050
2/1/2019,55000
2/1/2019,38500
2/1/2019,29700
2/1/2019,105600
2/1/2019,30800
2/1/2019,128150
2/1/2019,73700
2/1/2019,41800
2/1/2019,55000
2/1/2019,584650
2/1/2019,9350
2/2/2019,110000
2/2/2019,45650
2/2/2019,217800
2/2/2019,235950
2/2/2019,52800
2/2/2019,37400
2/2/2019,143000
2/2/2019,56650
2/2/2019,153450
2/2/2019,96800
2/2/2019,42900
2/2/2019,53900
2/2/2019,166100
2/2/2019,22000
2/2/2019,59400
2/2/2019,110000
2/2/2019,36300
2/2/2019,81950
2/2/2019,176000
2/2/2019,10450
2/2/2019,33000
2/2/2019,19800
2/2/2019,56100
2/2/2019,33000
2/2/2019,12100
2/2/2019,176550
2/2/2019,49500
2/2/2019,151250
2/2/2019,23650
2/2/2019,9900
2/2/2019,34100
2/2/2019,39600
2/2/2019,23650
2/3/2019,33000
2/3/2019,130350
2/3/2019,37950
2/3/2019,137500
2/3/2019,213400
2/3/2019,227150
2/3/2019,64350
2/3/2019,77000
2/3/2019,280500
2/3/2019,62150
2/3/2019,90860
2/3/2019,132550
2/3/2019,106700
2/3/2019,190300
2/3/2019,145200
2/3/2019,162800
2/3/2019,194700
2/3/2019,492800
2/3/2019,112750
2/3/2019,19250
2/3/2019,88550
2/3/2019,204600
2/3/2019,172150
2/3/2019,369050
2/3/2019,240350
2/3/2019,61050
2/3/2019,22000
2/3/2019,301400
2/3/2019,116050
2/3/2019,68200
2/3/2019,130900
2/3/2019,86900
2/3/2019,51150
2/3/2019,322850
2/3/2019,61600
2/3/2019,108350
2/3/2019,146300
2/3/2019,50600
2/3/2019,75350
2/3/2019,116600
2/3/2019,77000
2/4/2019,55000
2/4/2019,53350
2/4/2019,184250
2/4/2019,106150
2/4/2019,75900
2/4/2019,43450
2/4/2019,116600
2/4/2019,55550
2/4/2019,249150
2/4/2019,19250
2/4/2019,55550
2/4/2019,45100
2/4/2019,200200
2/4/2019,47300
2/4/2019,52800
2/4/2019,88000
2/4/2019,54450
2/4/2019,47300
2/4/2019,90750
2/4/2019,218350
2/4/2019,56650
2/4/2019,70400
2/4/2019,89100
2/4/2019,110550
2/4/2019,37950
2/4/2019,107250
2/4/2019,96800
2/4/2019,33550
2/4/2019,34210
2/4/2019,68750
2/4/2019,244750
2/4/2019,114950
2/4/2019,41250
2/4/2019,344300
2/4/2019,74800
2/4/2019,45100
2/4/2019,47300
2/4/2019,90750
2/4/2019,157850
2/4/2019,187000
2/4/2019,174900
2/4/2019,100650
2/4/2019,201850
2/4/2019,130350
2/4/2019,87450
2/4/2019,101200
2/4/2019,110000
2/4/2019,8800
2/4/2019,623150
2/4/2019,47300
2/4/2019,127600
2/4/2019,33000
2/5/2019,318450
2/5/2019,121550
2/5/2019,32450
2/5/2019,304700
2/5/2019,301400
2/5/2019,160050
2/5/2019,94600
2/5/2019,39600
2/5/2019,34210
2/5/2019,78320
2/5/2019,201300
2/5/2019,56100
2/5/2019,101750
2/5/2019,100320
2/5/2019,155650
2/5/2019,157300
2/5/2019,41250
2/5/2019,147400
2/5/2019,187000
2/5/2019,212300
2/5/2019,58850
2/5/2019,47300
2/5/2019,110000
2/5/2019,95150
2/5/2019,103950
2/5/2019,29700
2/5/2019,9900
2/5/2019,87450
2/5/2019,33000
2/5/2019,56100
2/5/2019,54450
2/5/2019,78650
2/5/2019,11000
2/5/2019,179850
2/5/2019,19250
2/5/2019,85800
2/5/2019,47300
2/5/2019,90750
2/5/2019,91300
2/5/2019,182600
2/5/2019,34100
2/5/2019,57200
2/5/2019,227150
2/5/2019,44550
2/5/2019,112750
2/5/2019,86900
2/5/2019,68200
2/5/2019,11000
2/5/2019,38500
2/5/2019,351450
2/6/2019,115500
2/6/2019,172700
2/6/2019,100650
2/6/2019,483450
2/6/2019,9900
2/6/2019,174350
2/6/2019,130350
2/6/2019,127050
2/6/2019,141350
2/6/2019,22000
2/6/2019,77000
